ad	02	canillo
ad	03	encamp
ad	04	la massana
ad	05	ordino
ad	06	sant julia de loria
ad	07	andorra la vella
ad	08	escaldes-engordany
ae	01	abu dhabi
ae	02	ajman
ae	03	dubai
ae	04	fujairah
ae	05	ras al khaimah
ae	06	sharjah
ae	07	umm al quwain
af	01	badakhshan
af	02	badghis
af	03	baghlan
af	05	bamian
af	06	farah
af	07	faryab
af	08	ghazni
af	09	ghowr
af	10	helmand
af	11	herat
af	13	kabol
af	14	kapisa
af	17	lowgar
af	18	nangarhar
af	19	nimruz
af	23	kandahar
af	24	kondoz
af	26	takhar
af	27	vardak
af	28	zabol
af	29	paktika
af	30	balkh
af	31	jowzjan
af	32	samangan
af	33	sar-e pol
af	34	konar
af	35	laghman
af	36	paktia
af	37	khowst
af	38	nurestan
af	39	oruzgan
af	40	parvan
af	41	daykondi
af	42	panjshir
ag	01	barbuda
ag	03	saint george
ag	04	saint john
ag	05	saint mary
ag	06	saint paul
ag	07	saint peter
ag	08	saint philip
ag	09	redonda
al	40	berat
al	41	diber
al	42	durres
al	43	elbasan
al	44	fier
al	45	gjirokaster
al	46	korce
al	47	kukes
al	48	lezhe
al	49	shkoder
al	50	tirane
al	51	vlore
am	01	aragatsotn
am	02	ararat
am	03	armavir
am	04	geghark'unik'
am	05	kotayk'
am	06	lorri
am	07	shirak
am	08	syunik'
am	09	tavush
am	10	vayots' dzor
am	11	yerevan
ao	01	benguela
ao	02	bie
ao	03	cabinda
ao	04	cuando cubango
ao	05	cuanza norte
ao	06	cuanza sul
ao	07	cunene
ao	08	huambo
ao	09	huila
ao	12	malanje
ao	13	namibe
ao	14	moxico
ao	15	uige
ao	16	zaire
ao	17	lunda norte
ao	18	lunda sul
ao	19	bengo
ao	20	luanda
ar	01	buenos aires
ar	02	catamarca
ar	03	chaco
ar	04	chubut
ar	05	cordoba
ar	06	corrientes
ar	07	distrito federal
ar	08	entre rios
ar	09	formosa
ar	10	jujuy
ar	11	la pampa
ar	12	la rioja
ar	13	mendoza
ar	14	misiones
ar	15	neuquen
ar	16	rio negro
ar	17	salta
ar	18	san juan
ar	19	san luis
ar	20	santa cruz
ar	21	santa fe
ar	22	santiago del estero
ar	23	tierra del fuego
ar	24	tucuman
at	01	burgenland
at	02	karnten
at	03	niederosterreich
at	04	oberosterreich
at	05	salzburg
at	06	steiermark
at	07	tirol
at	08	vorarlberg
at	09	wien
au	01	australian capital territory
au	02	new south wales
au	03	northern territory
au	04	queensland
au	05	south australia
au	06	tasmania
au	07	victoria
au	08	western australia
az	01	abseron
az	02	agcabadi
az	03	agdam
az	04	agdas
az	05	agstafa
az	06	agsu
az	07	ali bayramli
az	08	astara
az	09	baki
az	10	balakan
az	11	barda
az	12	beylaqan
az	13	bilasuvar
az	14	cabrayil
az	15	calilabad
az	16	daskasan
az	17	davaci
az	18	fuzuli
az	19	gadabay
az	20	ganca
az	21	goranboy
az	22	goycay
az	23	haciqabul
az	24	imisli
az	25	ismayilli
az	26	kalbacar
az	27	kurdamir
az	28	lacin
az	29	lankaran
az	30	lankaran
az	31	lerik
az	32	masalli
az	33	mingacevir
az	34	naftalan
az	35	naxcivan
az	36	neftcala
az	37	oguz
az	38	qabala
az	39	qax
az	40	qazax
az	41	qobustan
az	42	quba
az	43	qubadli
az	44	qusar
az	45	saatli
az	46	sabirabad
az	47	saki
az	48	saki
az	49	salyan
az	50	samaxi
az	51	samkir
az	52	samux
az	53	siyazan
az	54	sumqayit
az	55	susa
